Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V,Color,Symbol,Symbol_Size,Alpha,Point_Index,Device_Point_ID
1,Palmsens,0.5,100,0.7702835230461609,-0.8071116815272206,0.3035154812645716,0,0.100378032,-17.482056,0.190448,17.467964,0.090069968,Blue,Circle,8,0.7,1,Palmsens_1
2,Palmsens,0.5,100,1.2440581000807271,-1.0256351826259835,0.3034539585661316,0,0.100378032,-17.535602,0.190448,17.7094,0.090069968,Blue,Circle,8,0.7,2,Palmsens_2
3,Palmsens,0.5,100,1.0065374881501807,-1.1653952399799878,0.3034052352856076,0,0.100378032,-17.65585,0.190448,17.866286,0.090069968,Blue,Circle,8,0.7,3,Palmsens_3
4,Palmsens,0.5,100,1.5051681606031635,-1.087771536460849,0.303363353857794,0,0.100378032,-17.75825,0.190448,18.001566,0.090069968,Blue,Circle,8,0.7,4,Palmsens_4
5,Palmsens,0.5,100,1.239512222396327,-1.3037984981114876,0.3033230346294586,0,0.100378032,-17.815556,0.190448,18.149998,0.090069968,Blue,Circle,8,0.7,5,Palmsens_5
6,Palmsens,0.5,100,1.42010048744776,-1.1373766606823066,0.3033012254875048,0,0.100378032,-17.870982,0.190448,18.219516,0.090069968,Blue,Circle,8,0.7,6,Palmsens_6
7,Palmsens,0.5,100,1.61915045980034,-1.0052646585026763,0.3032809819048901,0,0.100378032,-17.9452,0.190448,18.274004,0.090069968,Blue,Circle,8,0.7,7,Palmsens_7
8,Palmsens,0.5,100,1.0399950180979245,-0.743886948932619,0.3032583122333261,0,0.100378032,-17.985596,0.190448,18.353856,0.090069968,Blue,Circle,8,0.7,8,Palmsens_8
9,Palmsens,0.5,100,0.9654558657855492,-1.0678211874198411,0.303238576310146,0,0.100378032,-17.969624,0.190448,18.445922,0.090069968,Blue,Circle,8,0.7,9,Palmsens_9
10,Palmsens,0.5,100,1.3129475051793789,-0.7638193542474867,0.3032171255756196,0,0.100378032,-18.019416,0.190448,18.51638,0.090069968,Blue,Circle,8,0.7,10,Palmsens_10
11,Palmsens,0.5,100,1.8382215957307289,-1.288257012147099,0.577507360695491,0,0.080362472,-14.984081,0.170432,13.862389,0.090069528,Blue,Circle,8,0.7,11,Palmsens_11
12,Palmsens,0.5,100,2.393325714494084,-1.0199869633811849,0.577453465630179,0,0.080362472,-14.973748,0.170432,14.099129,0.090069528,Blue,Circle,8,0.7,12,Palmsens_12
13,Palmsens,0.5,100,1.834071035988344,-0.686272198930075,0.5774251639240989,0,0.080362472,-15.000992,0.170432,14.209043,0.090069528,Blue,Circle,8,0.7,13,Palmsens_13
14,Palmsens,0.5,100,2.8102320364567657,-0.9567618681780904,0.5774007686149792,0,0.080362472,-15.034811,0.170432,14.299229,0.090069528,Blue,Circle,8,0.7,14,Palmsens_14
15,Palmsens,0.5,100,2.228588287737008,-1.4362951033676028,0.5773810812697199,0,0.080362472,-15.078026,0.170432,14.36499,0.090069528,Blue,Circle,8,0.7,15,Palmsens_15
16,Palmsens,0.5,100,1.9671653546791996,-1.0572759934090556,0.5773685387239607,0,0.080362472,-15.117482,0.170432,14.401628,0.090069528,Blue,Circle,8,0.7,16,Palmsens_16
17,Palmsens,0.5,100,1.5046092407583371,-1.0525805396033807,0.5773588941892699,0,0.080362472,-15.145666,0.170432,14.430751,0.090069528,Blue,Circle,8,0.7,17,Palmsens_17
18,Palmsens,0.5,100,2.242203631231841,-0.7985394874570204,0.5773501153016765,0,0.080362472,-15.165394,0.170432,14.459873,0.090069528,Blue,Circle,8,0.7,18,Palmsens_18
19,Palmsens,0.5,100,2.233809598376063,-0.8809434778321665,0.5773397134147495,0,0.080362472,-15.186061,0.170432,14.495573,0.090069528,Blue,Circle,8,0.7,19,Palmsens_19
20,Palmsens,0.5,100,1.8112547989478365,-1.1421557063669183,0.5773388479997743,0,0.080362472,-15.194517,0.170432,14.495573,0.090069528,Blue,Circle,8,0.7,20,Palmsens_20
21,Palmsens,0.5,100,1.9667156311916087,-0.9180478368137068,0.5321329810023331,0,0.090370248,-17.211496,0.170432,16.620588,0.080061752,Blue,Circle,8,0.7,21,Palmsens_21
22,Palmsens,0.5,100,2.6837988754749604,-0.8433293170963639,0.532069392636767,0,0.090370248,-17.257528,0.170432,16.874236,0.080061752,Blue,Circle,8,0.7,22,Palmsens_22
23,Palmsens,0.5,100,1.989207510681441,-0.7580481229252302,0.5320409500490738,0,0.090370248,-17.290408,0.170432,16.982272,0.080061752,Blue,Circle,8,0.7,23,Palmsens_23
24,Palmsens,0.5,100,1.7978867619287942,-0.4581277202078372,0.5320096559114936,0,0.090370248,-17.361806,0.170432,17.08561,0.080061752,Blue,Circle,8,0.7,24,Palmsens_24
25,Palmsens,0.5,100,1.8425926378964943,-0.7262087632294046,0.5319920785778026,0,0.090370248,-17.40784,0.170432,17.141038,0.080061752,Blue,Circle,8,0.7,25,Palmsens_25
26,Palmsens,0.5,100,1.7713971747608328,-0.9220018367459364,0.5319796062407279,0,0.090370248,-17.444478,0.170432,17.178616,0.080061752,Blue,Circle,8,0.7,26,Palmsens_26
27,Palmsens,0.5,100,2.081960056186221,-0.6308367126286208,0.5319775872120345,0,0.090370248,-17.464206,0.170432,17.178616,0.080061752,Blue,Circle,8,0.7,27,Palmsens_27
28,Palmsens,0.5,100,1.5306333307285325,-1.2653209489616626,0.5319661864948676,0,0.090370248,-17.50742,0.170432,17.208678,0.080061752,Blue,Circle,8,0.7,28,Palmsens_28
